UCSD-BOOKSTORES,60.0
RALPHS,21.0
SUBWAY,17.0
BOMBAY COAST,12.0
TRADER JOE,10.0
CHEVRON,5.0
FOOD4LESS,4.0
BURGER KING,4.0
TMC*TIME WARNER COM,4.0
99 RANCH,4.0
RUBIO,4.0
SANTORINI GREEK ISLAND,2.0
CHEF CHIN CONVOY,2.0
UCSD POSTAL CENTER,2.0
UCSD TRITON SVCES,2.0
GILBERT&#39;S FIREFISH GRI,1.0
EXXONMOBIL,1.0
DNC TRAVEL - LAX C,1.0
WHOLEFDS,1.0
DIM SUM KING,1.0
DENNY,1.0
DELTA AIR,1.0
CHINA MAX,1.0
LEMONADE,1.0
ALLSTATEshops COAST,1.0
GROUPON INC,1.0
PEARL RESTAURANT,1.0
LITTLE SHEEP MONGOLIAN,1.0
SOUPLANTATION,1.0
UCSD RECREATION,1.0
UCSD HDH GOODYS PLACE,1.0
UCSD HDH EARLS PLACE,1.0
THE BOILING CRAB,1.0
TAPIOCA EXPRESS,1.0
STARBUCKS,1.0
SHOGUN OF LA JOLLA,1.0
MCDONALD,1.0
SHELL OIL,1.0
SEARS ROEBUCK,1.0
PTICKET.COM-UC SAN DIEGO,1.0
WAL-MART,1.0
PANDA EXPRESS,1.0
MOBO SUSHI,1.0
7-ELEVEN,1.0
